"Kod";"Nazwa";"Wskaźniki";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0463000;"Powiat m.Toruń";"przeciętna liczba osób na 1 mieszkanie";"2021";2,04;"-";"";
0464000;"Powiat m.Włocławek";"przeciętna liczba osób na 1 mieszkanie";"2021";2,20;"-";"";
0601000;"Powiat bialski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,70;"-";"";
0602000;"Powiat biłgorajski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,03;"-";"";
0603000;"Powiat chełmski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,70;"-";"";
0604000;"Powiat hrubieszowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,61;"-";"";
0605000;"Powiat janowski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,25;"-";"";
0606000;"Powiat krasnostawski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,53;"-";"";
0607000;"Powiat kraśnicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,86;"-";"";
0608000;"Powiat lubartowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,73;"-";"";
0609000;"Powiat lubelski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,00;"-";"";
0610000;"Powiat łęczyński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,87;"-";"";
0611000;"Powiat łukowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,93;"-";"";
0612000;"Powiat opolski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,74;"-";"";
0613000;"Powiat parczewski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,56;"-";"";
0614000;"Powiat puławski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,47;"-";"";
0615000;"Powiat radzyński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,82;"-";"";
0616000;"Powiat rycki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,64;"-";"";
0617000;"Powiat świdnicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,53;"-";"";
0618000;"Powiat tomaszowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,82;"-";"";
0619000;"Powiat włodawski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,54;"-";"";
0620000;"Powiat zamojski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,82;"-";"";
0661000;"Powiat m.Biała Podlaska";"przeciętna liczba osób na 1 mieszkanie";"2021";2,27;"-";"";
0662000;"Powiat m.Chełm";"przeciętna liczba osób na 1 mieszkanie";"2021";2,27;"-";"";
0663000;"Powiat m.Lublin";"przeciętna liczba osób na 1 mieszkanie";"2021";2,04;"-";"";
0664000;"Powiat m.Zamość";"przeciętna liczba osób na 1 mieszkanie";"2021";2,39;"-";"";
0801000;"Powiat gorzowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,91;"-";"";
0802000;"Powiat krośnieński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,65;"-";"";
0803000;"Powiat międzyrzecki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,61;"-";"";
0804000;"Powiat nowosolski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,56;"-";"";
0805000;"Powiat słubicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,55;"-";"";
0806000;"Powiat strzelecko-drezdenecki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,72;"-";"";
0807000;"Powiat sulęciński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,63;"-";"";
0808000;"Powiat świebodziński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,63;"-";"";
0809000;"Powiat zielonogórski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,81;"-";"";
0810000;"Powiat żagański";"przeciętna liczba osób na 1 mieszkanie";"2021";2,50;"-";"";
0811000;"Powiat żarski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,61;"-";"";
0812000;"Powiat wschowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,85;"-";"";
0861000;"Powiat m.Gorzów Wielkopolski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,11;"-";"";
0862000;"Powiat m.Zielona Góra";"przeciętna liczba osób na 1 mieszkanie";"2021";2,14;"-";"";
1001000;"Powiat bełchatowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,61;"-";"";
1002000;"Powiat kutnowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,39;"-";"";
1003000;"Powiat łaski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,46;"-";"";
1004000;"Powiat łęczycki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,79;"-";"";
1005000;"Powiat łowicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,71;"-";"";
1006000;"Powiat łódzki wschodni";"przeciętna liczba osób na 1 mieszkanie";"2021";2,79;"-";"";
1007000;"Powiat opoczyński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,76;"-";"";
1008000;"Powiat pabianicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,23;"-";"";
1009000;"Powiat pajęczański";"przeciętna liczba osób na 1 mieszkanie";"2021";2,86;"-";"";
1010000;"Powiat piotrkowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,87;"-";"";
1011000;"Powiat poddębicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,47;"-";"";
1012000;"Powiat radomszczański";"przeciętna liczba osób na 1 mieszkanie";"2021";2,46;"-";"";
1013000;"Powiat rawski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,75;"-";"";
1014000;"Powiat sieradzki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,79;"-";"";
1015000;"Powiat skierniewicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,98;"-";"";
1016000;"Powiat tomaszowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,42;"-";"";
1017000;"Powiat wieluński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,78;"-";"";
1018000;"Powiat wieruszowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,96;"-";"";
1019000;"Powiat zduńskowolski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,53;"-";"";
1020000;"Powiat zgierski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,38;"-";"";
1021000;"Powiat brzeziński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,55;"-";"";
1061000;"Powiat m.Łódź";"przeciętna liczba osób na 1 mieszkanie";"2021";1,79;"-";"";
1062000;"Powiat m.Piotrków Trybunalski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,14;"-";"";
1063000;"Powiat m.Skierniewice";"przeciętna liczba osób na 1 mieszkanie";"2021";2,25;"-";"";
1201000;"Powiat bocheński";"przeciętna liczba osób na 1 mieszkanie";"2021";3,14;"-";"";
1202000;"Powiat brzeski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,19;"-";"";
1203000;"Powiat chrzanowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,59;"-";"";
1204000;"Powiat dąbrowski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,38;"-";"";
1205000;"Powiat gorlicki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,20;"-";"";
1206000;"Powiat krakowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,94;"-";"";
1207000;"Powiat limanowski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,69;"-";"";
1208000;"Powiat miechowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,64;"-";"";
1209000;"Powiat myślenicki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,38;"-";"";
1210000;"Powiat nowosądecki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,58;"-";"";
1211000;"Powiat nowotarski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,36;"-";"";
1212000;"Powiat olkuski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,72;"-";"";
1213000;"Powiat oświęcimski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,77;"-";"";
1214000;"Powiat proszowicki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,16;"-";"";
1215000;"Powiat suski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,13;"-";"";
1216000;"Powiat tarnowski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,47;"-";"";
1217000;"Powiat tatrzański";"przeciętna liczba osób na 1 mieszkanie";"2021";2,56;"-";"";
1218000;"Powiat wadowicki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,16;"-";"";
1219000;"Powiat wielicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,95;"-";"";
1261000;"Powiat m.Kraków";"przeciętna liczba osób na 1 mieszkanie";"2021";1,83;"-";"";
1262000;"Powiat m.Nowy Sącz";"przeciętna liczba osób na 1 mieszkanie";"2021";2,57;"-";"";
1263000;"Powiat m.Tarnów";"przeciętna liczba osób na 1 mieszkanie";"2021";2,33;"-";"";
1401000;"Powiat białobrzeski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,79;"-";"";
1402000;"Powiat ciechanowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,60;"-";"";
1403000;"Powiat garwoliński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,93;"-";"";
1404000;"Powiat gostyniński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,67;"-";"";
1405000;"Powiat grodziski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,54;"-";"";
1406000;"Powiat grójecki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,58;"-";"";
1407000;"Powiat kozienicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,62;"-";"";
1408000;"Powiat legionowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,44;"-";"";
1409000;"Powiat lipski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,60;"-";"";
1410000;"Powiat łosicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,59;"-";"";
1411000;"Powiat makowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,77;"-";"";
1412000;"Powiat miński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,63;"-";"";
1413000;"Powiat mławski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,62;"-";"";
1414000;"Powiat nowodworski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,45;"-";"";
1415000;"Powiat ostrołęcki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,47;"-";"";
1416000;"Powiat ostrowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,79;"-";"";
1417000;"Powiat otwocki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,56;"-";"";
1418000;"Powiat piaseczyński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,36;"-";"";
1419000;"Powiat płocki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,07;"-";"";
1420000;"Powiat płoński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,70;"-";"";
1421000;"Powiat pruszkowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,37;"-";"";
1422000;"Powiat przasnyski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,98;"-";"";
1423000;"Powiat przysuski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,75;"-";"";
1424000;"Powiat pułtuski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,70;"-";"";
1425000;"Powiat radomski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,17;"-";"";
1426000;"Powiat siedlecki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,98;"-";"";
1427000;"Powiat sierpecki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,84;"-";"";
1428000;"Powiat sochaczewski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,76;"-";"";
1429000;"Powiat sokołowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,51;"-";"";
1430000;"Powiat szydłowiecki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,89;"-";"";
1432000;"Powiat warszawski zachodni";"przeciętna liczba osób na 1 mieszkanie";"2021";2,61;"-";"";
1433000;"Powiat węgrowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,57;"-";"";
1434000;"Powiat wołomiński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,73;"-";"";
1435000;"Powiat wyszkowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,97;"-";"";
1436000;"Powiat zwoleński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,92;"-";"";
1437000;"Powiat żuromiński";"przeciętna liczba osób na 1 mieszkanie";"2021";3,01;"-";"";
1438000;"Powiat żyrardowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,32;"-";"";
1461000;"Powiat m.Ostrołęka";"przeciętna liczba osób na 1 mieszkanie";"2021";2,44;"-";"";
1462000;"Powiat m.Płock";"przeciętna liczba osób na 1 mieszkanie";"2021";2,13;"-";"";
1463000;"Powiat m.Radom";"przeciętna liczba osób na 1 mieszkanie";"2021";2,28;"-";"";
1464000;"Powiat m.Siedlce";"przeciętna liczba osób na 1 mieszkanie";"2021";2,16;"-";"";
1465000;"Powiat m. st. Warszawa";"przeciętna liczba osób na 1 mieszkanie";"2021";1,78;"-";"";
1601000;"Powiat brzeski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,58;"-";"";
1602000;"Powiat głubczycki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,58;"-";"";
1603000;"Powiat kędzierzyńsko-kozielski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,44;"-";"";
1604000;"Powiat kluczborski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,68;"-";"";
1605000;"Powiat krapkowicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,82;"-";"";
1606000;"Powiat namysłowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,59;"-";"";
1607000;"Powiat nyski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,65;"-";"";
1608000;"Powiat oleski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,93;"-";"";
1609000;"Powiat opolski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,98;"-";"";
1610000;"Powiat prudnicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,61;"-";"";
1611000;"Powiat strzelecki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,98;"-";"";
1661000;"Powiat m.Opole";"przeciętna liczba osób na 1 mieszkanie";"2021";2,12;"-";"";
1801000;"Powiat bieszczadzki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,84;"-";"";
1802000;"Powiat brzozowski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,38;"-";"";
1803000;"Powiat dębicki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,28;"-";"";
1804000;"Powiat jarosławski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,17;"-";"";
1805000;"Powiat jasielski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,22;"-";"";
1806000;"Powiat kolbuszowski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,41;"-";"";
1807000;"Powiat krośnieński";"przeciętna liczba osób na 1 mieszkanie";"2021";3,35;"-";"";
1808000;"Powiat leżajski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,28;"-";"";
1809000;"Powiat lubaczowski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,08;"-";"";
1810000;"Powiat łańcucki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,21;"-";"";
1811000;"Powiat mielecki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,02;"-";"";
1812000;"Powiat niżański";"przeciętna liczba osób na 1 mieszkanie";"2021";3,13;"-";"";
1813000;"Powiat przemyski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,36;"-";"";
1814000;"Powiat przeworski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,15;"-";"";
1815000;"Powiat ropczycko-sędziszowski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,41;"-";"";
1816000;"Powiat rzeszowski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,30;"-";"";
1817000;"Powiat sanocki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,01;"-";"";
1818000;"Powiat stalowowolski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,72;"-";"";
1819000;"Powiat strzyżowski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,29;"-";"";
1820000;"Powiat tarnobrzeski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,08;"-";"";
1821000;"Powiat leski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,99;"-";"";
1861000;"Powiat m.Krosno";"przeciętna liczba osób na 1 mieszkanie";"2021";2,43;"-";"";
1862000;"Powiat m.Przemyśl";"przeciętna liczba osób na 1 mieszkanie";"2021";2,28;"-";"";
1863000;"Powiat m.Rzeszów";"przeciętna liczba osób na 1 mieszkanie";"2021";2,10;"-";"";
1864000;"Powiat m.Tarnobrzeg";"przeciętna liczba osób na 1 mieszkanie";"2021";2,46;"-";"";
2001000;"Powiat augustowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,73;"-";"";
2002000;"Powiat białostocki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,64;"-";"";
2003000;"Powiat bielski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,19;"-";"";
2004000;"Powiat grajewski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,88;"-";"";
2005000;"Powiat hajnowski";"przeciętna liczba osób na 1 mieszkanie";"2021";1,84;"-";"";
2006000;"Powiat kolneński";"przeciętna liczba osób na 1 mieszkanie";"2021";3,33;"-";"";
2007000;"Powiat łomżyński";"przeciętna liczba osób na 1 mieszkanie";"2021";3,26;"-";"";
2008000;"Powiat moniecki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,84;"-";"";
2009000;"Powiat sejneński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,69;"-";"";
2010000;"Powiat siemiatycki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,38;"-";"";
2011000;"Powiat sokólski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,56;"-";"";
2012000;"Powiat suwalski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,01;"-";"";
2013000;"Powiat wysokomazowiecki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,01;"-";"";
2014000;"Powiat zambrowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,82;"-";"";
2061000;"Powiat m.Białystok";"przeciętna liczba osób na 1 mieszkanie";"2021";2,12;"-";"";
2062000;"Powiat m.Łomża";"przeciętna liczba osób na 1 mieszkanie";"2021";2,43;"-";"";
2063000;"Powiat m.Suwałki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,48;"-";"";
2201000;"Powiat bytowski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,09;"-";"";
2202000;"Powiat chojnicki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,01;"-";"";
2203000;"Powiat człuchowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,85;"-";"";
2204000;"Powiat gdański";"przeciętna liczba osób na 1 mieszkanie";"2021";2,80;"-";"";
2205000;"Powiat kartuski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,38;"-";"";
2206000;"Powiat kościerski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,17;"-";"";
2207000;"Powiat kwidzyński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,96;"-";"";
2208000;"Powiat lęborski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,67;"-";"";
2209000;"Powiat malborski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,68;"-";"";
2210000;"Powiat nowodworski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,53;"-";"";
2211000;"Powiat pucki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,65;"-";"";
2212000;"Powiat słupski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,72;"-";"";
2213000;"Powiat starogardzki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,97;"-";"";
2214000;"Powiat tczewski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,78;"-";"";
2215000;"Powiat wejherowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,86;"-";"";
2216000;"Powiat sztumski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,94;"-";"";
2261000;"Powiat m.Gdańsk";"przeciętna liczba osób na 1 mieszkanie";"2021";1,95;"-";"";
2262000;"Powiat m.Gdynia";"przeciętna liczba osób na 1 mieszkanie";"2021";2,05;"-";"";
2263000;"Powiat m.Słupsk";"przeciętna liczba osób na 1 mieszkanie";"2021";2,12;"-";"";
2264000;"Powiat m.Sopot";"przeciętna liczba osób na 1 mieszkanie";"2021";1,68;"-";"";
2401000;"Powiat będziński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,33;"-";"";
2402000;"Powiat bielski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,04;"-";"";
2403000;"Powiat cieszyński";"przeciętna liczba osób na 1 mieszkanie";"2021";2,71;"-";"";
2404000;"Powiat częstochowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,79;"-";"";
2405000;"Powiat gliwicki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,79;"-";"";
2406000;"Powiat kłobucki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,02;"-";"";
2407000;"Powiat lubliniecki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,96;"-";"";
2408000;"Powiat mikołowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,73;"-";"";
2409000;"Powiat myszkowski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,60;"-";"";
2410000;"Powiat pszczyński";"przeciętna liczba osób na 1 mieszkanie";"2021";3,23;"-";"";
2411000;"Powiat raciborski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,74;"-";"";
2412000;"Powiat rybnicki";"przeciętna liczba osób na 1 mieszkanie";"2021";3,11;"-";"";
2413000;"Powiat tarnogórski";"przeciętna liczba osób na 1 mieszkanie";"2021";2,70;"-";"";
2414000;"Powiat bieruńsko-lędziński";"przeciętna liczba osób na 1 mieszkanie";"2021";3,13;"-";"";
2415000;"Powiat wodzisławski";"przeciętna liczba osób na 1 mieszkanie";"2021";3,02;"-";"";
2416000;"Powiat zawierciański";"przeciętna liczba osób na 1 mieszkanie";"2021";2,36;"-";"";
2417000;"Powiat żywiecki";"przeciętna liczba osób na 1 mieszkanie";"2021";2,80;"-";"";
