"Kod";"Nazwa";"Wyszczególnienie";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0217000;"Powiat strzeliński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";449;"osoba";"";
0218000;"Powiat średzki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";163;"osoba";"";
0219000;"Powiat świdnicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";329;"osoba";"";
0220000;"Powiat trzebnicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";302;"osoba";"";
0221000;"Powiat wałbrzyski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";460;"osoba";"";
0222000;"Powiat wołowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";370;"osoba";"";
0223000;"Powiat wrocławski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";112;"osoba";"";
0224000;"Powiat ząbkowicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";441;"osoba";"";
0225000;"Powiat zgorzelecki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";300;"osoba";"";
0226000;"Powiat złotoryjski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";461;"osoba";"";
0261000;"Powiat m.Jelenia Góra";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";303;"osoba";"";
0262000;"Powiat m.Legnica";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";320;"osoba";"";
0264000;"Powiat m.Wrocław";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";123;"osoba";"";
0265000;"Powiat m.Wałbrzych od 2013";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";462;"osoba";"";
0401000;"Powiat aleksandrowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";753;"osoba";"";
0402000;"Powiat brodnicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";627;"osoba";"";
0403000;"Powiat bydgoski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";359;"osoba";"";
0404000;"Powiat chełmiński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";628;"osoba";"";
0405000;"Powiat golubsko-dobrzyński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";656;"osoba";"";
0406000;"Powiat grudziądzki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";869;"osoba";"";
0407000;"Powiat inowrocławski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";597;"osoba";"";
0408000;"Powiat lipnowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";1332;"osoba";"";
0409000;"Powiat mogileński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";678;"osoba";"";
0410000;"Powiat nakielski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";645;"osoba";"";
0411000;"Powiat radziejowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";723;"osoba";"";
0412000;"Powiat rypiński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";1093;"osoba";"";
0413000;"Powiat sępoleński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";615;"osoba";"";
0414000;"Powiat świecki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";627;"osoba";"";
0415000;"Powiat toruński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";492;"osoba";"";
0416000;"Powiat tucholski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";549;"osoba";"";
0417000;"Powiat wąbrzeski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";640;"osoba";"";
0418000;"Powiat włocławski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";720;"osoba";"";
0419000;"Powiat żniński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";624;"osoba";"";
0461000;"Powiat m.Bydgoszcz";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";252;"osoba";"";
0462000;"Powiat m.Grudziądz";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";580;"osoba";"";
0463000;"Powiat m.Toruń";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";313;"osoba";"";
0464000;"Powiat m.Włocławek";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";703;"osoba";"";
0601000;"Powiat bialski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";547;"osoba";"";
0602000;"Powiat biłgorajski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";451;"osoba";"";
0603000;"Powiat chełmski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";600;"osoba";"";
0604000;"Powiat hrubieszowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";505;"osoba";"";
0605000;"Powiat janowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";450;"osoba";"";
0606000;"Powiat krasnostawski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";549;"osoba";"";
0607000;"Powiat kraśnicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";474;"osoba";"";
0608000;"Powiat lubartowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";566;"osoba";"";
0609000;"Powiat lubelski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";326;"osoba";"";
0610000;"Powiat łęczyński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";345;"osoba";"";
0611000;"Powiat łukowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";295;"osoba";"";
0612000;"Powiat opolski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";340;"osoba";"";
0613000;"Powiat parczewski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";834;"osoba";"";
0614000;"Powiat puławski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";316;"osoba";"";
0615000;"Powiat radzyński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";580;"osoba";"";
0616000;"Powiat rycki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";393;"osoba";"";
0617000;"Powiat świdnicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";284;"osoba";"";
0618000;"Powiat tomaszowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";475;"osoba";"";
0619000;"Powiat włodawski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";728;"osoba";"";
0620000;"Powiat zamojski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";480;"osoba";"";
0661000;"Powiat m.Biała Podlaska";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";325;"osoba";"";
0662000;"Powiat m.Chełm";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";356;"osoba";"";
0663000;"Powiat m.Lublin";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";260;"osoba";"";
0664000;"Powiat m.Zamość";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";464;"osoba";"";
0801000;"Powiat gorzowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";422;"osoba";"";
0802000;"Powiat krośnieński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";438;"osoba";"";
0803000;"Powiat międzyrzecki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";473;"osoba";"";
0804000;"Powiat nowosolski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";432;"osoba";"";
0805000;"Powiat słubicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";492;"osoba";"";
0806000;"Powiat strzelecko-drezdenecki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";832;"osoba";"";
0807000;"Powiat sulęciński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";751;"osoba";"";
0808000;"Powiat świebodziński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";345;"osoba";"";
0809000;"Powiat zielonogórski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";433;"osoba";"";
0810000;"Powiat żagański";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";492;"osoba";"";
0811000;"Powiat żarski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";464;"osoba";"";
0812000;"Powiat wschowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";577;"osoba";"";
0861000;"Powiat m.Gorzów Wielkopolski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";251;"osoba";"";
0862000;"Powiat m.Zielona Góra";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";242;"osoba";"";
1001000;"Powiat bełchatowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";414;"osoba";"";
1002000;"Powiat kutnowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";505;"osoba";"";
1003000;"Powiat łaski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";307;"osoba";"";
1004000;"Powiat łęczycki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";484;"osoba";"";
1005000;"Powiat łowicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";277;"osoba";"";
1006000;"Powiat łódzki wschodni";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";272;"osoba";"";
1007000;"Powiat opoczyński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";488;"osoba";"";
1008000;"Powiat pabianicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";253;"osoba";"";
1009000;"Powiat pajęczański";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";453;"osoba";"";
1010000;"Powiat piotrkowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";362;"osoba";"";
1011000;"Powiat poddębicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";529;"osoba";"";
1012000;"Powiat radomszczański";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";501;"osoba";"";
1013000;"Powiat rawski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";425;"osoba";"";
1014000;"Powiat sieradzki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";378;"osoba";"";
1015000;"Powiat skierniewicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";314;"osoba";"";
1016000;"Powiat tomaszowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";478;"osoba";"";
1017000;"Powiat wieluński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";298;"osoba";"";
1018000;"Powiat wieruszowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";354;"osoba";"";
1019000;"Powiat zduńskowolski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";365;"osoba";"";
1020000;"Powiat zgierski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";306;"osoba";"";
1021000;"Powiat brzeziński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";409;"osoba";"";
1061000;"Powiat m.Łódź";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";284;"osoba";"";
1062000;"Powiat m.Piotrków Trybunalski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";423;"osoba";"";
1063000;"Powiat m.Skierniewice";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";297;"osoba";"";
1201000;"Powiat bocheński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";320;"osoba";"";
1202000;"Powiat brzeski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";348;"osoba";"";
1203000;"Powiat chrzanowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";379;"osoba";"";
1204000;"Powiat dąbrowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";636;"osoba";"";
1205000;"Powiat gorlicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";701;"osoba";"";
1206000;"Powiat krakowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";199;"osoba";"";
1207000;"Powiat limanowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";640;"osoba";"";
1208000;"Powiat miechowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";374;"osoba";"";
1209000;"Powiat myślenicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";282;"osoba";"";
1210000;"Powiat nowosądecki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";669;"osoba";"";
1211000;"Powiat nowotarski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";289;"osoba";"";
1212000;"Powiat olkuski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";244;"osoba";"";
1213000;"Powiat oświęcimski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";235;"osoba";"";
1214000;"Powiat proszowicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";393;"osoba";"";
1215000;"Powiat suski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";438;"osoba";"";
1216000;"Powiat tarnowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";417;"osoba";"";
1217000;"Powiat tatrzański";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";343;"osoba";"";
1218000;"Powiat wadowicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";267;"osoba";"";
1219000;"Powiat wielicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";231;"osoba";"";
1261000;"Powiat m.Kraków";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";208;"osoba";"";
1262000;"Powiat m.Nowy Sącz";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";362;"osoba";"";
1263000;"Powiat m.Tarnów";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";378;"osoba";"";
1401000;"Powiat białobrzeski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";333;"osoba";"";
1402000;"Powiat ciechanowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";374;"osoba";"";
1403000;"Powiat garwoliński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";355;"osoba";"";
1404000;"Powiat gostyniński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";472;"osoba";"";
1405000;"Powiat grodziski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";313;"osoba";"";
1406000;"Powiat grójecki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";290;"osoba";"";
1407000;"Powiat kozienicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";451;"osoba";"";
1408000;"Powiat legionowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";303;"osoba";"";
1409000;"Powiat lipski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";485;"osoba";"";
1410000;"Powiat łosicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";661;"osoba";"";
1411000;"Powiat makowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";814;"osoba";"";
1412000;"Powiat miński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";288;"osoba";"";
1413000;"Powiat mławski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";450;"osoba";"";
1414000;"Powiat nowodworski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";345;"osoba";"";
1415000;"Powiat ostrołęcki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";456;"osoba";"";
1416000;"Powiat ostrowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";427;"osoba";"";
1417000;"Powiat otwocki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";260;"osoba";"";
1418000;"Powiat piaseczyński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";179;"osoba";"";
1419000;"Powiat płocki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";497;"osoba";"";
1420000;"Powiat płoński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";413;"osoba";"";
1421000;"Powiat pruszkowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";190;"osoba";"";
1422000;"Powiat przasnyski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";848;"osoba";"";
1423000;"Powiat przysuski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";434;"osoba";"";
1424000;"Powiat pułtuski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";514;"osoba";"";
1425000;"Powiat radomski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";358;"osoba";"";
1426000;"Powiat siedlecki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";455;"osoba";"";
1427000;"Powiat sierpecki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";596;"osoba";"";
1428000;"Powiat sochaczewski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";370;"osoba";"";
1429000;"Powiat sokołowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";464;"osoba";"";
1430000;"Powiat szydłowiecki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";660;"osoba";"";
1432000;"Powiat warszawski zachodni";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";135;"osoba";"";
1433000;"Powiat węgrowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";513;"osoba";"";
1434000;"Powiat wołomiński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";254;"osoba";"";
1435000;"Powiat wyszkowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";388;"osoba";"";
1436000;"Powiat zwoleński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";576;"osoba";"";
1437000;"Powiat żuromiński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";626;"osoba";"";
1438000;"Powiat żyrardowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";314;"osoba";"";
1461000;"Powiat m.Ostrołęka";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";580;"osoba";"";
1462000;"Powiat m.Płock";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";424;"osoba";"";
1463000;"Powiat m.Radom";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";382;"osoba";"";
1464000;"Powiat m.Siedlce";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";312;"osoba";"";
1465000;"Powiat m. st. Warszawa";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";178;"osoba";"";
1601000;"Powiat brzeski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";344;"osoba";"";
1602000;"Powiat głubczycki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";487;"osoba";"";
1603000;"Powiat kędzierzyńsko-kozielski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";331;"osoba";"";
1604000;"Powiat kluczborski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";362;"osoba";"";
1605000;"Powiat krapkowicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";302;"osoba";"";
1606000;"Powiat namysłowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";302;"osoba";"";
1607000;"Powiat nyski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";569;"osoba";"";
1608000;"Powiat oleski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";253;"osoba";"";
1609000;"Powiat opolski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";249;"osoba";"";
1610000;"Powiat prudnicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";452;"osoba";"";
1611000;"Powiat strzelecki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";274;"osoba";"";
1661000;"Powiat m.Opole";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";169;"osoba";"";
1801000;"Powiat bieszczadzki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";602;"osoba";"";
1802000;"Powiat brzozowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";618;"osoba";"";
1803000;"Powiat dębicki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";528;"osoba";"";
1804000;"Powiat jarosławski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";524;"osoba";"";
1805000;"Powiat jasielski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";592;"osoba";"";
1806000;"Powiat kolbuszowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";578;"osoba";"";
1807000;"Powiat krośnieński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";425;"osoba";"";
1808000;"Powiat leżajski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";602;"osoba";"";
1809000;"Powiat lubaczowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";629;"osoba";"";
1810000;"Powiat łańcucki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";412;"osoba";"";
1811000;"Powiat mielecki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";301;"osoba";"";
1812000;"Powiat niżański";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";546;"osoba";"";
1813000;"Powiat przemyski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";913;"osoba";"";
1814000;"Powiat przeworski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";606;"osoba";"";
1815000;"Powiat ropczycko-sędziszowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";449;"osoba";"";
1816000;"Powiat rzeszowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";412;"osoba";"";
1817000;"Powiat sanocki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";476;"osoba";"";
1818000;"Powiat stalowowolski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";336;"osoba";"";
1819000;"Powiat strzyżowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";606;"osoba";"";
1820000;"Powiat tarnobrzeski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";431;"osoba";"";
1821000;"Powiat leski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";439;"osoba";"";
1861000;"Powiat m.Krosno";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";373;"osoba";"";
1862000;"Powiat m.Przemyśl";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";740;"osoba";"";
1863000;"Powiat m.Rzeszów";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";232;"osoba";"";
1864000;"Powiat m.Tarnobrzeg";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";264;"osoba";"";
2001000;"Powiat augustowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";526;"osoba";"";
2002000;"Powiat białostocki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";437;"osoba";"";
2003000;"Powiat bielski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";639;"osoba";"";
2004000;"Powiat grajewski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";850;"osoba";"";
2005000;"Powiat hajnowski";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";720;"osoba";"";
2006000;"Powiat kolneński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";734;"osoba";"";
2007000;"Powiat łomżyński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";552;"osoba";"";
2008000;"Powiat moniecki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";778;"osoba";"";
2009000;"Powiat sejneński";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";674;"osoba";"";
2010000;"Powiat siemiatycki";"beneficjenci środowiskowej pomocy społecznej na 10 tys. ludności";"2021";696;"osoba";"";
